Ricness,PD,AvTD,EDGE1
36,8.20603849,7.62781361166666,40.1334376708098
44,8.08401205499991,7.11798857066676,47.3780545601536
19,4.19755359,4.30620794333333,18.5779588724525
14,4.038569395,4.28743256,16.5473487440191
29,7.04806765499991,7.25639152333342,30.6422841735107
40,8.534088805,8.41717999833333,41.4713459192063
4,36.72077357,73.13626448,4.11210975188743
23,3.574150215,2.15157130333333,20.9690989788312
34,6.76844120999991,7.53968378333342,35.2176657980501
15,4.15825112,5.20656227833333,17.7374877929553
4,0.60665698,0.7365157,3.64901303402468
2,0.52854198,0.57162737,1.83586174815864
1,0.152279975,0.16723413,0.749604897281567
0,0,0,0
3,0.371423455,0.22456615,2.9884193425358
32,5.97464150999991,6.22700473800009,36.4945524166406
20,3.63241899,3.71491242833333,20.4346206242923
10,1.47719511,1.83604104,9.68325287041612
0,0,0,0
2,0.672283375,0.92281349,1.82292940209509
0,0,0,0
0,0,0,0
0,0,0,0
2,0.48786488,0.92885854,1.88219869032398
2,0.590640744999907,0.918702640000092,1.76204922391833
1,0.14259407,0.19048545,1.1103227054063
3,0.176015345,0.23404585,4.71848926649359
4,0.303335975,0.111647728333333,4.22470575528135
54,11.815006925,9.2669557235,61.6799179038953
25,6.81852727,5.59000057,27.6679315401004
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
53,9.02452514999991,8.17677870119057,65.2422522653889
63,11.1344845799999,10.2465483226668,72.0243429508447
5,1.543999865,1.83174245,7.63805075704796
4,1.05013711,1.27375829,4.75499565259415
16,4.51475059,5.60889772333333,19.8158238148089
27,4.43156399,3.46807127733333,30.3798568217338
25,5.508121025,3.50696388333333,24.4417981235116
7,0.99693231,1.073928,6.5708975108998
18,3.55883497,4.31323445333333,16.6687830361152
11,3.414384855,3.57298263333333,13.1700449728122
36,7.172434775,7.36624068533333,41.1907230276919
